Title,Topic,Section
Briefs,Everyday life,Underwear
Brigham Young,People,Mormonism
Brigham Young University,Society and social sciences,United States
Brightest cluster galaxy,Physical sciences,Galaxy classification
Brightness temperature,Physical sciences,Radio astronomy
Brighton,Geography,England
Brigid,Philosophy and religion,Celtic mythology
Brigitte Bardot,People,Actors
Brihadisvara Temple,Arts,Asia
Brillouin zone,Physical sciences,Crystallography
Brine,Physical sciences,Water: General
Brine shrimp,Biology and health sciences,Crustaceans
Brisbane,Geography,Australia
Brisket,Everyday life,Meat
Bristol,Geography,England
Bristol Bay,Geography,Oceans and seas
Brit Hume,People,"Broadcast journalists, presenters and commentators"
Brit milah,Philosophy and religion,Judaism
Britannia,Arts,Western folklore
Britannia Bridge,Technology,Bridges
British Academy,Society and social sciences,National organizations
British Academy Television Awards,Society and social sciences,Awards
British Academy of Film and Television Arts,Arts,Film festival and awards
British Agricultural Revolution,History,Western Europe_2
British Airways,Society and social sciences,Europe_3
British Antarctic Territory,Geography,Antarctica
British Armed Forces,Society and social sciences,Specific militaries
British Columbia,Geography,Canada
British Empire,History,Modern history
British English,Society and social sciences,Germanic languages
British Hong Kong,History,Asia_3
British Indian Ocean Territory,Geography,Asia_3
British Isles,Geography,Europe_3
British Library,Society and social sciences,Europe
British Museum,Arts,Europe
British Overseas Territories,Geography,United Kingdom
British Raj,History,South Asia_4
British Sign Language,Society and social sciences,Sign language
British Virgin Islands,Geography,Caribbean
British Western Pacific Territories,History,Oceania_6
British colonization of the Americas,History,Americas_4
British cuisine,Everyday life,Cuisine
British literature,Arts,"Literatures by religion, language and area"
British rule in Burma,History,Southeastern Asia_3
British thermal unit,Physical sciences,Energy
British undergraduate degree classification,Society and social sciences,Education: General
Britney Spears,People,Popular music: General
Britpop,Arts,Rock
Brittany,Geography,France
Brittany Murphy,People,United States_2
Brittle star,Biology and health sciences,Echinoderms
Brittleness,Physical sciences,Solid mechanics
Brittle–ductile transition zone,Physical sciences,Structural geology
Brix,Physical sciences,Concentration
Brno,Geography,Czech Republic
Broad Breasted White turkey,Biology and health sciences,Turkeys
Broad Peak,Geography,Himalayas
Broadcast journalism,Society and social sciences,Journalism
Broadcast syndication,Society and social sciences,Mass media
Broadcasting,Technology,Media
Broadcom,Society and social sciences,"Computing, telecommunication, electronics, and software"
Broadway theatre,Arts,Theatre
Brocade,Technology,Weaving
Broccoli,Biology and health sciences,Brassicales
Broderick Crawford,People,United States
Brokeback Mountain,Arts,Romance films
Broker,Society and social sciences,Business: General
Bromeliaceae,Biology and health sciences,Poales
Bromide,Physical sciences,Halide salts
Bromine,Physical sciences,Chemical elements_2
Bronc riding,Everyday life,Animal sport
Bronchitis,Biology and health sciences,Non-infectious disease
Bronchodilator,Biology and health sciences,Specific drugs
Bronchus,Biology and health sciences,Respiratory system
Bronislava Nijinska,People,Ballet
Bronisław Malinowski,People,Modern_5
Bronko Nagurski,People,Running backs
Brontosaurus,Biology and health sciences,Sauropods
Brontotheriidae,Biology and health sciences,Perissodactyla
Brontë family,People,UK and Ireland
Bronze,Physical sciences,Chemistry
Bronze (color),Physical sciences,Colors
Bronze Age,History,Ancient history
Bronze age,,Guidelines
Bronzino,People,Renaissance to early modern era
Brooch,Everyday life,Jewelry
Brook Taylor,People,Britain
Brooke Astor,People,Socialites
Brookite,Physical sciences,Minerals
Brooklyn,Geography,Northeast
Brooklyn Bridge,Technology,Transport infrastructure
Brooks Adams,People,Modern (after AD 1800)_2
Brooks Atkinson,People,Critics
Brooks Range,Geography,North America_3
Broomball,Everyday life,Team sports
Brosimum alicastrum,Biology and health sciences,Nuts
Brothel,Everyday life,Sexuality and gender
Brother,Everyday life,Family members
Brothers Grimm,People,Western Europe
Brouwer fixed-point theorem,Mathematics,Topology
Brow ridge,Biology and health sciences,Human anatomy
Brown,Physical sciences,Color terms
Brown University,Society and social sciences,Ivy League
Brown algae,Biology and health sciences,Other organisms
Brown bear,Biology and health sciences,Carnivora
Brown dwarf,Physical sciences,Stellar astronomy
Brown rat,Biology and health sciences,Rodents
Brown recluse spider,Biology and health sciences,Spiders
Brown v. Board of Education,Society and social sciences,United States
Brownian motion,Physical sciences,Thermodynamics
Brownie Wise,People,Retail
"Brownsville, Texas",Geography,South
Browsing (herbivory),Biology and health sciences,Ethology
Bruce Catton,People,Modern (after AD 1800)_2
Bruce Dawe,People,Oceania_3
Bruce Forsyth,People,UK &amp; Ireland
Bruce Lee,People,Martial arts
Bruce McLaren,People,Auto racing
Bruce Onobrakpeya,People,African
Bruce Springsteen,People,Rock: General
Bruce Willis,People,United States
Brucellosis,Biology and health sciences,Bacterial infections
Brucite,Physical sciences,Minerals
Bruges,Geography,Belgium
Bruise,Biology and health sciences,Injury
Brunch,Everyday life,Basics
Brunei,Geography,Southeast Asia
Brunhild,Philosophy and religion,Germanic mythology
Bruno Bettelheim,People,Psychologists
Bruno Ganz,People,Europe
Bruno Latour,People,Sociologists
Bruno Mars,People,Popular music: General
Bruno Rossi,People,Physics
Bruno Sammartino,People,Professional wrestling
Bruno Schulz,People,Eastern Europe
Bruno Taut,People,Architects
Bruschetta,Everyday life,Grains-based products
Brush,Technology,Artist's tools
Brusilov offensive,History,World War I
Brussels,Geography,Belgium_2
Brussels Metro,Technology,Europe_2
Brussels sprout,Biology and health sciences,Leafy vegetables
Brutalist architecture,Arts,Modern era
Brute-force attack,Technology,Computer security
Brute-force search,Mathematics,Algorithms
Bruxism,Biology and health sciences,Mental disorders
Bryan Adams,People,Rock: General
Bryan Cranston,People,Television
Bryan brothers,People,Tennis
Bryansk,Geography,Central
Bryant Gumbel,People,"Sports journalists, sportswriters, commentators and sports announcers"
Bryce Canyon National Park,Geography,North America_4
Bryophyte,Biology and health sciences,Bryophytes
Bryopsida,Biology and health sciences,Bryophytes
Bryozoa,Biology and health sciences,Lophotrochozoa
Brønsted–Lowry acid–base theory,Physical sciences,Concepts
Brčko District,Geography,Bosnia and Herzegovina
Bubble chamber,Physical sciences,Basics_3
Bubble gum,Everyday life,Food types
Bubble tea,Everyday life,Hot drinks
Bubiyan Island,Geography,Persian Gulf
Bubonic plague,Biology and health sciences,Infectious disease
Bucaramanga,Geography,Colombia
Bucegi Mountains,Geography,Europe_5
Bucephalus,Biology and health sciences,Individual animals
Bucharest,Geography,Romania_2
Buchi Emecheta,People,Africa
Buck Angel,People,Adult
Buck O'Neil,People,Baseball_2
Bucket,Technology,Containers
Buckingham Canal,Geography,Canals
Buckingham Palace,Arts,Europe
Buckingham π theorem,Physical sciences,Basics
Buckinghamshire,Geography,United Kingdom
Buckminster Fuller,People,Architects
Buckminsterfullerene,Physical sciences,Group 14
Buckwheat,Biology and health sciences,Caryophyllales
Bud Abbott,People,United States_3
Bud Powell,People,Jazz and related genres
Bud Selig,People,Baseball_2
Budai,People,Chinese Buddhism
Budapest,Geography,Hungary
Budapest Metro,Technology,Europe_2
Buddenbrooks,Arts,Historical fiction
Buddha's Birthday,Society and social sciences,Buddhist holidays
Buddha-nature,Philosophy and religion,Concepts_5
Buddhadasa,People,Thai Buddhism
Buddhaghosa,People,Indian Buddhism
Buddhism,Philosophy and religion,Indian religions
Buddhism in the West,Philosophy and religion,Traditions
Buddhist architecture,Arts,Forms
Buddhist art,Arts,Concepts and forms
Buddhist calendar,Technology,Calendars
Buddhist canons,Philosophy and religion,Texts_3
Buddhist councils,History,History of religion
Buddhist meditation,Philosophy and religion,Practices_5
Buddhist monasticism,Philosophy and religion,Practices_5
Buddhist music,Arts,Religious music
Buddhist philosophy,Philosophy and religion,Religious philosophy
Buddy Bolden,People,Jazz and related genres
Buddy Holly,People,Rock
Buddy Rich,People,Jazz and related genres
Budgerigar,Biology and health sciences,Psittaciformes
Budget,Society and social sciences,Accounting
Budj Bim heritage areas,History,Oceania_2
Buena Vista Social Club,People,Caribbean
Buenaventura Durruti,People,Europe_5
Buenos Aires,Geography,Argentina
Buenos Aires Province,Geography,Argentina
Buffalo Bill,People,Other
Buffalo wing,Everyday life,Meat
"Buffalo, New York",Geography,Northeast
Buffer solution,Physical sciences,Concepts
Buffet,Everyday life,Food service
Buffy Sainte-Marie,People,Folk
Buffy the Vampire Slayer,Arts,1980–1999
Bugle,Arts,Wind instruments
Bugs Bunny,Arts,Animation and comics
Bugs Moran,People,Organized crime
Bugsy Siegel,People,Organized crime
Buhturi,People,Asia_6
Building,Technology,Structures
Building code,Society and social sciences,Legal codes
Building design,Arts,Design
Building material,Society and social sciences,Industry
Built environment,Arts,Terminology
Buju Banton,People,Caribbean
Bujumbura,Geography,Burundi
Bukavu,Geography,Democratic Republic of the Congo
Bukhara,Geography,Uzbekistan
Bulat Okudzhava,People,Russian
Bulawayo,Geography,Zimbabwe
Bulb,Biology and health sciences,Plant anatomy and morphology: General
Bulbul,Biology and health sciences,Passerida
Bulgaria,Geography,Eastern Europe
Bulgarian language,Society and social sciences,Slavic languages
Bulgarian–Ottoman wars,History,Eastern Europe and Central
Bulgars,History,Europe_4
Bulgur,Everyday life,Grains-based products
Bulimia nervosa,Biology and health sciences,Mental disorders
Bulk modulus,Physical sciences,Solid mechanics
Bull Connor,People,Law enforcement and fire service
Bull and terrier,Biology and health sciences,Dogs
Bull riding,Everyday life,Animal sport
Bull shark,Biology and health sciences,Sharks
Bulldog bat,Biology and health sciences,Bats
Bulldog type,Biology and health sciences,Dogs
Bulldozer,Technology,Specific-purpose transportation
Bullet,Technology,Ammunition
Bullet Cluster,Physical sciences,Notable galaxy clusters
Bulletin board,Technology,Media and communication: Basics
Bulletin board system,Technology,Internet
Bulletin of the Atomic Scientists,Society and social sciences,Academic journals
Bulletproof vest,Technology,Armour
Bullfighting,Everyday life,Other individual sports
Bullhead shark,Biology and health sciences,Sharks
Bullion coin,Society and social sciences,Currency
Bullying,Society and social sciences,Interpersonal relations
Bumblebee,Biology and health sciences,Hymenoptera
Bumin Qaghan,People,"Central Asia, Iran, Caucasus"
Bumper cars,Everyday life,Amusement parks
Bumpy Johnson,People,Organized crime
Bun,Everyday life,Grains-based products
Bundesliga,Everyday life,Association football
Bungaree,People,Modern
Bungarus,Biology and health sciences,Snakes
Bungee jumping,Everyday life,Other individual sports
Bungo Channel,Geography,Straits
Bunk bed,Everyday life,Furniture and interior design
Bunny Yeager,People,Photographers
Bunraku,Arts,Theatre
Bunyip,Philosophy and religion,Legendary creatures
Buoy,Technology,Naval transport
Buoyancy,Physical sciences,Fluid mechanics
Bupivacaine,Biology and health sciences,Anesthetics
Bupropion,Biology and health sciences,Psychiatric drugs
Buraidah,Geography,Saudi Arabia
Burbot,Biology and health sciences,Acanthomorpha
Bureaucracy,Society and social sciences,State structure and administration
Burebista,People,Eastern Europe
Burgas,Geography,Bulgaria
Burgenland,Geography,Austria
Burglary,Society and social sciences,Crimes against property
Burgundian Netherlands,History,France
Burgundians,History,Europe_4
Burgundy,Geography,France
Burgundy (color),Physical sciences,Colors
Burial,Philosophy and religion,Death
Buried Child,Arts,Drama
Burj Al Arab,Arts,Asia
Burj Khalifa,Arts,Specific structures
Burke and Wills expedition,History,Oceania_6
Burkina Faso,Geography,West Africa
Burl Ives,People,United States
Burlesque,Arts,Forms
"Burlington, Vermont",Geography,Northeast
Burma campaign,History,World War II
Burmese cat,Biology and health sciences,Cats
Burmese language,Society and social sciences,Sino-Tibetan languages
Burn,Biology and health sciences,Injury
Burnetia,Biology and health sciences,Proto-mammals
Burning Man,Society and social sciences,"Festivals, holidays, and observances"
Burning Spear,People,Caribbean
Burning of Smyrna,History,Western Asia_3
Burns and Allen,People,United States_3
Burping,Biology and health sciences,Basics
Burqa,Everyday life,Outerwear
Burrito,Everyday life,Food types
Burrow,Biology and health sciences,Shelters and structures
Bursa,Geography,Turkey
Burst mode (weapons),Technology,Mechanisms_2
Burst of Joy,Arts,Photographs
Burt Bacharach,People,"Music producers, songwriters and businesspeople"
Burt Lancaster,People,United States
Burt Reynolds,People,United States
Burton Richter,People,Physics
Buru,Geography,Malay Archipelago
Burundi,Geography,East Africa
Burundian Civil War,History,Africa_8
Burushaski,Society and social sciences,Language isolates
Buryatia,Geography,Russia
Bus,Technology,Road transport
Bus (computing),Technology,Computer hardware
Bus garage,Technology,Concepts of ground transport
Bus rapid transit,Technology,Motorized road transport
Bus station,Technology,Concepts of ground transport
Bus stop,Technology,Concepts of ground transport
Busan,Geography,South Korea
Busan Metro,Technology,South Korea
Busch Gardens,Everyday life,Specific amusement parks
Bush dog,Biology and health sciences,Canines
Bushehr,Geography,Iran
Bushehr province,Geography,Iran
Bushel,Physical sciences,Mass and weight
Bushido,History,Post-classical: General
Bushmeat,Everyday life,Meat
Bushranger,History,Oceania_6
Business,Society and social sciences,Society and social sciences
Business administration,Society and social sciences,Business: General
Business cycle,Society and social sciences,Business: General
Business education,Society and social sciences,Education: General
Business journalism,Society and social sciences,Journalism
Business model,Society and social sciences,Business: General
Business networking,Society and social sciences,Business: General
Business school,Society and social sciences,Education: General
Businessperson,Society and social sciences,Common trades and professions
Bust (sculpture),Arts,Sculpture
Bustard,Biology and health sciences,Gruiformes
Buster Keaton,People,Directors
Butane,Physical sciences,Hydrocarbons
Butch Cassidy,People,Organized crime
Buteo,Biology and health sciences,Accipitrimorphae
Butoh,Arts,Theatre
Butsudan,Philosophy and religion,Practices_5
Butte,Physical sciences,Other erosional landforms
Butter,Everyday life,Dairy and analogues
Butter chicken,Everyday life,Food types
Butter knife,Everyday life,Cooking and eating
Butterfly,Biology and health sciences,Lepidoptera
Butterfly effect,Mathematics,Dynamical systems
Butterfly stroke,Everyday life,Water sports
Butterflyfish,Biology and health sciences,Acanthomorpha
Buttermilk,Everyday life,Dairy products
Butternut squash,Biology and health sciences,Botanical fruits used as culinary vegetables
Buttocks,Biology and health sciences,Animal anatomy and morphology
Button,Everyday life,Clothing and fashion
Buttonquail,Biology and health sciences,Charadriiformes
Buttress,Technology,Architectural elements
Butuan,Geography,Mindanao
Butuan (historical polity),History,Southeastern Asia_2
Buvaisar Saitiev,People,Wrestling
Buyid dynasty,History,Central Asia and Iran
Buzkashi,Everyday life,Team sports
Buzz Aldrin,People,Space travelers
Buzz cut,Everyday life,Hairstyle
Buôn Ma Thuột,Geography,Vietnam
By-election,Society and social sciences,Politics
By-product,Society and social sciences,Business: General
Byblos,History,Asia_3
Bydgoszcz,Geography,Poland
Bydgoszcz Canal,Geography,Canals
Byerlee's law,Physical sciences,Geophysics
Byron Nelson,People,Golf
Byrranga Mountains,Geography,Central and Northern Asia
Byte,Physical sciences,Data
Bytecode,Technology,Software development: General
Byway (road),Technology,Road infrastructure
Byzantine Empire,History,Post-classical history
Byzantine architecture,Arts,Styles
Byzantine art,Arts,Medieval art
Byzantine bureaucracy and aristocracy,History,Eastern and Central Europe
Byzantine literature,Arts,"Literatures by religion, language and area"
Byzantine music,Arts,Music of Europe
Byzantine–Bulgarian wars,History,Eastern Europe and Central
Byzantine–Ottoman wars,History,Eastern Europe and Central
Byzantine–Sasanian War of 602–628,History,Eastern and Central Europe
Byzantine–Seljuk wars,History,Eastern and Central Europe
Byzantium,History,Europe_3
Báb,People,Bahá'í Faith
Bánh mì,Everyday life,Food types
Béla Bartók,People,20th century modern
Béla Guttmann,People,Association football_2
Béla IV of Hungary,People,Hungary
Béla Károlyi,People,Gymnastics_2
Béla Tarr,People,Europe_4
Béni Abbès,Geography,Oases and springs
Bézout's identity,Mathematics,Diophantine equations
Börje Salming,People,Defense
Bāṇabhaṭṭa,People,Asia_2
Bōsō Peninsula,Geography,Asia_4
Bảo Đại,People,Vietnam_3
Bắc Ninh,Geography,Vietnam
C (programming language),Technology,Programming
C Sharp (programming language),Technology,Programming languages
C++,Technology,Programming languages
C. Everett Koop,People,Medicine
C. F. Powell,People,Physics
C. H. D. Buys Ballot,People,Earth science and physical geography
C. J. Cherryh,People,US and Canada
C. J. Dennis,People,Oceania_3
C. J. Freezer,People,Hobbyists
C. L. R. James,People,Modern (after AD 1800)_2
C. P. Scott,People,Publishers and editors
C. S. Lewis,People,UK and Ireland
C. T. R. Wilson,People,Physics
C. V. Raman,People,Modern_10
C. Vann Woodward,People,Modern (after AD 1800)_2
C. W. Post,People,Food and drink
C. Wright Mills,People,Sociologists
C3 carbon fixation,Biology and health sciences,Basics
C4 carbon fixation,Biology and health sciences,Basics
CBS,Society and social sciences,American TV networks
CERN,Society and social sciences,Intergovernmental organizations
CFA franc,Society and social sciences,Specific currencies
CIE 1931 color space,Physical sciences,Basics
CIELAB color space,Physical sciences,Basics
CIELUV,Physical sciences,Basics
CITES,Society and social sciences,Statutory law
CMB cold spot,Physical sciences,Notable patches of universe
CMOS,Technology,Semiconductors
CMYK color model,Physical sciences,Basics_7
CN Tower,Arts,Americas
CNN,Society and social sciences,American TV networks
CNO cycle,Physical sciences,Stellar astronomy
COBOL,Technology,"Historical"" languages"
COBRA Experiment,Physical sciences,Nuclear physics
COVID-19,Biology and health sciences,Viral diseases
COVID-19 pandemic,History,Modern: General
COVID-19 recession,History,Contemporary: General
COVID-19 vaccine,Biology and health sciences,Vaccines
CP violation,Physical sciences,Particle physics: General
CPT symmetry,Physical sciences,Particle physics: General
CRISPR,Technology,Biotechnology
CRRC,Society and social sciences,Industrial
CSI: Crime Scene Investigation,Arts,Post-1999
CSKA Moscow,Everyday life,Multiple sports
CSS,Technology,Stylesheet languages
CSS Virginia,Technology,Specific seacraft
CT scan,Technology,Imaging
CVS Health,Society and social sciences,Medical and health care services
CW Leonis,Physical sciences,Notable stars
Cabaret,Arts,Theatre
Cabaret (musical),Arts,Musicals
Cabbage,Biology and health sciences,Brassicales
Cabbage Patch Kids,Everyday life,Toys
Cabinda (city),Geography,Angola
Cabinetry,Everyday life,Furniture and interior design
Cable car (railway),Technology,Rail and cable transport
Cable television,Technology,Media and communication
Cable transport,Technology,Other
Cabo San Lucas,Geography,Mexico
Cabo da Roca,Geography,Europe_4
Cachao,People,Jazz and related genres
Cache (computing),Technology,Computer architecture concepts
Cache coherence,Technology,Computer architecture concepts
Cache replacement policies,Mathematics,Algorithms
Cacomistle,Biology and health sciences,Procyonidae
Cactus,Biology and health sciences,Caryophyllales
Cadaver,Biology and health sciences,Human anatomy
Cadaverine,Physical sciences,Amides and amines
Cadbury,Society and social sciences,Food and drinks
Caddisfly,Biology and health sciences,Insects: General
Cadence,Arts,Music theory
Cadmium,Physical sciences,Chemical elements_2
Cadmium sulfide,Physical sciences,Sulfide salts
Caecilian,Biology and health sciences,Amphibians
Caecilius Statius,People,Europe_5
Caelum,Physical sciences,Other
Caen,Geography,France
Caenagnathidae,Biology and health sciences,Theropods
Caenorhabditis elegans,Biology and health sciences,Ecdysozoa
Caesar cipher,Technology,Computer security
Caesar salad,Everyday life,Food types
Caesar's civil war,History,Europe_4
Caesarea Maritima,History,Asia_3
Caesarean section,Biology and health sciences,Surgery
Caesium,Physical sciences,Chemical elements_2
Caesium standard,Physical sciences,Measurement systems
Caetano Veloso,People,Portuguese
Cafeteria,Everyday life,Food service
Caffeine,Biology and health sciences,Biochemistry and molecular biology
Cafu,People,Defenders
Café Terrace at Night,Arts,Modern
Cagayan Valley,Geography,Philippines
Cagayan de Oro,Geography,Mindanao
Cage,Technology,Containers
Cage (graph theory),Mathematics,Graph theory
Cagliari,Geography,Italy
Cahn–Ingold–Prelog priority rules,Physical sciences,Stereochemistry
Cahokia,History,Americas_6
Cahora Bassa,Technology,Dams
Cai Chusheng,People,Asia_5
Cai Lun,People,Inventors and engineers
Cai Xukun,People,"Chinese languages (Mandarin, Cantonese and Taiwanese)"
Caiman,Biology and health sciences,Reptiles
Cain and Abel,Philosophy and religion,Abrahamic mythology
Cainotheriidae,Biology and health sciences,Other artiodactyla
Cairns,Geography,Australia
Cairo,Geography,Cities
Cairo Declaration on Human Rights in Islam,Society and social sciences,Human rights instruments
Cairo Governorate,Geography,Egypt
Cairo Metro,Technology,Africa
Cairo University,Society and social sciences,Egypt
Caisson (engineering),Technology,Hydraulic infrastructure
Caitlyn Jenner,People,Athletics
Cake,Everyday life,Food types
Cal Ripken Jr.,People,United States
Calabar,Geography,Nigeria
Calabarzon,Geography,Philippines
Calabash,Biology and health sciences,Botanical fruits used as culinary vegetables
Calabria,Geography,Italy
Calais,Geography,France
Calamian Islands,Geography,Philippines
Calamine,Biology and health sciences,Specific drugs
Calamine (mineral),Physical sciences,Minerals
Calamity Jane,People,Other
Calcareous sponge,Biology and health sciences,Porifera
Calcarisporiellales,Biology and health sciences,Basics
Calcio storico fiorentino,Everyday life,Other games and plays
Calcite,Physical sciences,Minerals
Calcium,Physical sciences,Chemical elements_2
Calcium acetate,Physical sciences,Acetates
Calcium carbide,Physical sciences,Carbide salts
Calcium carbonate,Physical sciences,Salts
Calcium chloride,Physical sciences,Salts
Calcium citrate,Physical sciences,Citrates
Calcium cycle,Physical sciences,Earth science basics: General
Calcium fluoride,Physical sciences,Halide salts
Calcium hydroxide,Physical sciences,Hydroxy anion
Calcium oxide,Physical sciences,Alkali oxide salts
Calcium sulfate,Physical sciences,Sulfuric oxyanions
Calcium sulfide,Physical sciences,Sulfide salts
Calculator,Technology,Basics_3
Calculus,Mathematics,Analysis
Calculus of variations,Mathematics,Calculus and analysis
Caldera,Physical sciences,Volcanic landforms
Caldera Basin,Geography,South America_4
Caldwell Esselstyn,People,Medicine_2
Cale Yarborough,People,Auto racing
Caleb Bradham,People,Chemistry
Caledonian Canal,Geography,Canals
Calendar,Technology,Navigation and timekeeping
Calendula,Biology and health sciences,Asterales
Calf (leg),Biology and health sciences,Human anatomy
Calgary,Geography,Canada_2
Cali,Geography,Colombia
California,Geography,United States
California Academy of Sciences,Arts,United States
California Institute of Technology,Society and social sciences,United States
California condor,Biology and health sciences,Accipitrimorphae
California genocide,History,United States_2
California gold rush,History,United States_2
California roll,Everyday life,Food types
Californium,Physical sciences,Chemical elements_2
Caligula,People,Ancient Rome
Calipers,Technology,Measuring instruments
Caliphate,Society and social sciences,State structure and administration
Calisthenics,Biology and health sciences,Physical fitness
Call girl,Everyday life,Sexuality and gender
Call of Cthulhu (role-playing game),Everyday life,Role-playing games
Call of Duty,Everyday life,US products
Call option,Society and social sciences,Securities
Callanish Stones,Arts,Europe
Calle 13 (band),People,Spanish
Calligraphy,Arts,Concepts and forms
Callimachus,People,Europe_5
Callinectes sapidus,Biology and health sciences,Crabs and hermit crabs
Calling convention,Technology,Software development: General
Calliphoridae,Biology and health sciences,Flies (Diptera)
Callippus,People,Greece
Callisto (moon),Physical sciences,Solar System
Callitropsis nootkatensis,Biology and health sciences,Pinophyta (Conifers)
Callorhinchus,Biology and health sciences,Chimaeriformes
Callosciurus,Biology and health sciences,Rodents
Calocedrus decurrens,Biology and health sciences,Pinophyta (Conifers)
Calogero Vizzini,People,Organized crime
Caloocan,Geography,Luzon
Calorie,Physical sciences,"Energy, power, force and pressure"
Calorimeter,Technology,Measuring instruments
Calorimeter (particle physics),Physical sciences,Devices
Calorimetry,Physical sciences,Instrumental methods
Calouste Gulbenkian,People,Energy
Calouste Gulbenkian Museum,Arts,Western Europe
Caltrop,Technology,Maneuver
Calvin Coolidge,People,Presidents_2
Calvin Harris,People,Electronic music
Calvin Hooker Goddard,People,Forensic sciences
Calvin Klein,People,Fashion
Calvin and Hobbes,Arts,"Comic strips, editorial cartoons and webcomics"
Calvin cycle,Biology and health sciences,Basics
Calypso music,Arts,Popular music: General
Cam follower,Technology,Mechanisms
Camadevi,People,Southeastern Asia
Camagüey,Geography,Cuba
Camarasaurus,Biology and health sciences,Sauropods
Camargue,Geography,Wetlands
Camarón de la Isla,People,Flamenco
Cambodia,Geography,Southeast Asia
Cambodian Civil War,History,Southeast Asia
Cambodian genocide,History,Southeast Asia
Cambodian–Vietnamese War,History,Southeast Asia
Cambrian,Physical sciences,Geological periods
Cambrian explosion,Physical sciences,Geological history
Cambridge,Geography,England
"Cambridge, Massachusetts",Geography,Northeast
Cambridgeshire,Geography,United Kingdom
Cambyses II,People,"Persia, Parthia and Sogdia"
Camel,Biology and health sciences,Artiodactyla
Camel racing,Everyday life,Animal sport
Camellia,Biology and health sciences,Ericales
Camellia sinensis,Biology and health sciences,Ericales
Camelopardalis,Physical sciences,Other
Camelot,Philosophy and religion,Mythological places
Camera,Technology,Optical
Cameron Diaz,People,United States_2
Cameron Mackintosh,People,Stage_3
Cameroon,Geography,Central Africa
Camilla Wedgwood,People,Anthropologists and archaeologists
Camille Claudel,People,Sculptors
Camille Desmoulins,People,French Revolution
Camille Jordan,People,Mathematics
Camille Paglia,People,"Art historians, theorists and critics"
Camille Pissarro,People,Modern (painters)
Camille Saint-Saëns,People,Romantic
"Camillo Benso, Count of Cavour",People,Italy_2
Camilo Cienfuegos,People,Cuban Revolution
Camilo José Cela,People,Western Europe
Camino de Santiago,Technology,Ground transportation networks
Camisole,Everyday life,Underwear
Cammi Granato,People,Wingers
Camogie,Everyday life,Team sports
Camouflage,Biology and health sciences,Zoology: General
Campania,Geography,Italy
Campanulaceae,Biology and health sciences,Asterales
"Campbell Island, New Zealand",Geography,Antarctica_2
Campbell's Soup Cans,Arts,Painting
Campeche,Geography,Mexico
Campeonato Brasileiro Série A,Everyday life,Association football
Camphor,Physical sciences,Terpenes and terpenoids
Campinas,Geography,Brazil
Camping,Everyday life,Recreation and tourism
Campo Grande,Geography,Brazil
Campo del Cielo,Geography,South America_4
Campos Basin,Geography,South America_4
Campylobacter jejuni,Biology and health sciences,Gram-negative bacteria
Can-can,Arts,Dance
Canaan,History,Western Asia
Canaan Banana,People,Zimbabwe and Rhodesia
Canaanite religion,Philosophy and religion,Ancient religions
Canada,Geography,Countries
Canada Science and Technology Museum,Arts,Canada
Canada goose,Biology and health sciences,Anseriformes
Canada men's national ice hockey team,Everyday life,Ice hockey
Canadaspis,Biology and health sciences,Fossil arthropods
Canadian Aboriginal syllabics,Society and social sciences,Alphabets and writing systems
Canadian Broadcasting Corporation,Society and social sciences,Television networks and channels
Canadian Confederation,History,Americas_5
Canadian English,Society and social sciences,Germanic languages
Canadian Football League,Everyday life,Sports leagues
Canadian Museum of History,Arts,Canada
Canadian Prairies,Geography,Canada
Canadian River,Geography,United States
Canadian Rockies,Geography,North America_3
Canadian Shield,Geography,North America_5
Canadian cuisine,Everyday life,Cuisine
Canadian dollar,Society and social sciences,Specific currencies
Canadian football,Everyday life,Football
Canadian literature,Arts,"Literatures by religion, language and area"
Canal,Technology,Transportation
Canal du Midi,Geography,Canals
Canaletto,People,Renaissance to early modern era
Canals of Amsterdam,Geography,Canals
Canary Islands,Geography,Africa_3
Canasta,Everyday life,Card games
Canberra,Geography,Australia
Cancer,Biology and health sciences,Illness and injury
Cancer (constellation),Physical sciences,Zodiac
Cancer pagurus,Biology and health sciences,Crabs and hermit crabs
Cancún,Geography,Mexico
Candace Bushnell,People,US and Canada
Candareen,Physical sciences,Chinese
Candela,Physical sciences,Light
Candelaria Caves,Geography,Caves
Candice Bergen,People,Television_2
Candida Royalle,People,Adult
Candida albicans,Biology and health sciences,Basics
Candide,Arts,Fiction of early printed book era
Candidiasis,Biology and health sciences,Fungal infections
Candle,Technology,Energy and fuel
Candle in the Wind 1997,Arts,Pop music
Candlepower,Physical sciences,Luminous intensity
Candomblé,Philosophy and religion,Other religions: General
Candy,Everyday life,Food types
Candy Barr,People,Other dance
Candy Crush Saga,Everyday life,Other European products
Candy Land,Everyday life,Board games
Candy bar,Everyday life,Food types
Candy corn,Everyday life,Food types
Cane toad,Biology and health sciences,Frogs and toads
Canes Venatici,Physical sciences,Other
Cango Caves,Geography,Caves
Cangzhou,Geography,North China
Canid hybrid,Biology and health sciences,Hybrids
Canidae,Biology and health sciences,Carnivora
Caninae,Biology and health sciences,Canines
Canis,Biology and health sciences,Canines
Canis Major,Physical sciences,Constellations
Canis Minor,Physical sciences,Other
